[Mastercad Black]|Opening Balance|undefined
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|OUTLET HASSIB 02/05
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 06/10
E1. Extraordinárias (Ongoing):Presentes|Outros|FOM ELDORADO
B2. Educação (Mensal):Livros-Material Escolar|Livraria Cultura|LIVRARIA CULTURA 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CRYSTAL PIZZA BAR
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA-SH.VILLA LOBO01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|FASCAR-SH.VILLA LO01/03
B2. Educação (Mensal):Livros-Material Escolar|kalunga|KALUNGA SHOPPING E01/03
B2. Educação (Mensal):Livros-Material Escolar|Outros|LOJAS AMERICANAS 101/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|35DN ELDORADO 01/05
E1. Extraordinárias (Ongoing):Presentes|Outros|CANAL ELDORADO 01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KANAYAMA SUSHI LTDA EP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REI DO MATE
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR LJ 1207
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0013 BACIO DI LATT
B2. Educação (Mensal):Livros-Material Escolar|Outros|SARAIVA ELDORADO 40
E1. Extraordinárias (Ongoing):Assinaturas-Licenças|Outros|POKEMON STOP
D. Viagens:Tkt-Hotel-Auto|Hotel|HOTEL URBANO*585d001/06
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR LJ 1227
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|CENTRO AUTOM AGUA ESPR
[Residencia Lorian]|Fast Shop|FAST SHOP 02/02 TV
[Residencia Lorian]|C&C|C&C OSASCO 01/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MONTANA GRILL EXPRESS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|COBASI VILA LOBOS 01/03
[Residencia Lorian]|Bettoni|COLCHOARIA BETTONI02/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CRISTALINA PISCINAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MERCADO A C V
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LANCHONETE DIVINO
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EX OSASCO HI SANAZAR
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|EMPORIO DAS PISCINAS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CAMICADO-SH.ELDORA01/05
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CAMICADO-SH.ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALDS-SEL
B. Outras Receitas:Ajustes|Outros|CASA ALMEIDA-V.LOBOS
[Residencia Lorian]|Casa Almeida|CASA ALMEIDA-V.LOB02/08
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 01/05
[Residencia Lorian]|Outros|CONSTRUCEL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST E LANCH EMBAIXADO
B. Outras Receitas:Ajustes|Outros|C E A 275
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|C E A 275 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PIMENTA BUZIOS
[Residencia Lorian]|Ricardo Eletro|RICARDOELETRO 03/07
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 03/04
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|AUTO POSTO DOIS IRMAOS
D. Viagens:Tkt-Hotel-Auto|Hotel|ARENA LE HOTEL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RODOSNACK ESTRELA DA D
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|FRUTARIA COLLINAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MERCEARIA SAO FRANCISC
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|SOMBRANCELHAS DESI03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|OUTLET HASSIB 03/05
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 07/10
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|JTSTETIC 01/07
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|JTSTETIC 02/07
E1. Extraordinárias (Ongoing):Presentes|Outros|AMAZON.COM.BR
B2. Educação (Mensal):Livros-Material Escolar|Livraria Cultura|LIVRARIA CULTURA 03/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BELLA PAULISTA
E2. Extraordinárias (One Time):Outras|Outros|BIKESITE CONTINENTAL
B2. Educação (Mensal):Livros-Material Escolar|Outros|SPR PAPELARIA E IN01/04
E1. Extraordinárias (Ongoing):Presentes|Outros|LOCCITANE SHOPPING01/02
E1. Extraordinárias (Ongoing):Presentes|Outros|LOCCITANE SHOPPING02/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|QUIOSQUE DO ZE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|COCO BAMBU
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|HIPERPETRO II
B. Outras Receitas:Ajustes|Outros|FASCAR-SH.VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA-SH.VILLA LOBO02/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|FASCAR-SH.VILLA LO02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|H3 SAO PAULO COMERCIO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0017 VILLA LOBOS SP
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 01/10
B. Outras Receitas:Ajustes|Outros|EMPORIO DAS PISCINAS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|EMPORIO DAS PISCIN02/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|EMPORIO DAS PISCIN03/03
B. Outras Receitas:Ajustes|kalunga|KALUNGA SHOPPING ELDOR
B2. Educação (Mensal):Livros-Material Escolar|kalunga|KALUNGA SHOPPING E02/03
B2. Educação (Mensal):Livros-Material Escolar|Outros|LOJAS AMERICANAS 102/10
E1. Extraordinárias (Ongoing):Presentes|Outros|35DN ELDORADO 02/05
E1. Extraordinárias (Ongoing):Presentes|Outros|CANAL ELDORADO 02/02
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|PARK LIDERSANTOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|Z DELI SANDUICHES II
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB 01/03
B. Outras Receitas:Ajustes|Outros|HOTEL URBANO*585d0b928
D. Viagens:Tkt-Hotel-Auto|Hotel|HOTEL URBANO*585d002/06
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EXTRA JAGUARE 1357
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|PIRAPANEMA SERVICOS AU
[Residencia Lorian]|C&C|C&C OSASCO 02/05
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CASA CHIC 01/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|IZ*PADEIRAS EM CASA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MARIA LUCIA TADEU MORA
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|MUNDO DO ENXOVAL 01/06
[Residencia Lorian]|SPOT|MOAS 01/04 pendentes
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MADERO SAO PAULO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OFNER-ANALIA FRANCO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|EMPORIONAKA 01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SAMPA PRIME GOURMET
B. Outras Receitas:Ajustes|SPOT|MOAS
B. Outras Receitas:Ajustes|Outros|COBASI VILA LOBOS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|COBASI VILA LOBOS 02/03
D. Viagens:Tkt-Hotel-Auto|Hotel|D P METSU HOT ME 01/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE DA IMIGRAN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PALETERIA MEXICANA
B2. Educação (Mensal):Livros-Material Escolar|Outros|MULTI CENTER COMER01/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|A Plus|A PLUS IND COM ACE01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CENTER CARNES SANTA MA
B2. Educação (Mensal):Livros-Material Escolar|Outros|WORK BOOK
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STAR 013
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CAMICADO-SH.ELDORA02/05
B2. Educação (Mensal):Livros-Material Escolar|kalunga|KALUNGA IMPERATRIZ LEO
B2. Educação (Mensal):Livros-Material Escolar|Outros|SARAIVA COM
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CASA LOJA COMERCIAL
[Residencia Lorian]|Casa Almeida|CASA ALMEIDA-V.LOB03/08
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 02/05
E2. Extraordinárias (One Time):Outras|Outros|PAGSEGUROUOL*DueFamePa
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|WAL MART LJ 2801 PDV
[Residencia Lorian]|Casa Almeida|CASA ALMEIDA-V.LOB04/08
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 03/05
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICANAS-231-JD.SUL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA JD SUL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0014 ANAPURUS SP
B2. Educação (Mensal):Livros-Material Escolar|Outros|SARAIVA JD SUL 69
[Residencia Lorian]|Banho Design|BANHO DESIGN COM A01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PADARIA E PIZZARIA D P
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|C E A 275 03/03
[Residencia Lorian]|Ricardo Eletro|RICARDOELETRO 04/07
B. Outras Receitas:Ajustes|Outros|BANHO DESIGN COM ARTIG
[Residencia Lorian]|Ricardo Eletro|RICARDOELETRO 05/07
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 04/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MADERO CONTAINER TAUBA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PISTACHE GELATERIA
E2. Extraordinárias (One Time):Investimentos na Empresa|Intercepti|HOTEL FARO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|OUTLET HASSIB 04/05
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|OUTLET HASSIB 05/05
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 08/10
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 09/10
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|JTSTETIC 03/07
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|BABOO - CHOCOLATES. DO
[Residencia Lorian]|Copeli Matl Eletrico|COPELI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ESPACO VILA GOUMERT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RED
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE HANABI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BURGER BROS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BOVINU S REBOUCAS
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|EXTRA POSTO 2725 JAGUA
B. Outras Receitas:Ajustes|Outros|SPR PAPELARIA E INFORM
B2. Educação (Mensal):Livros-Material Escolar|Outros|SPR PAPELARIA E IN02/04
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|EMPORIO DE COSMETI01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MUNDO VERDE PANAMBY
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO SOL DA DUTRA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE PIEMONTE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Zara|ZARA-SH.VILLA LOBO03/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|FASCAR-SH.VILLA LO03/03
B. Outras Receitas:Ajustes|Outros|OPPA DESIGN LTDA
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 02/10
B2. Educação (Mensal):Livros-Material Escolar|kalunga|KALUNGA SHOPPING E03/03
B2. Educação (Mensal):Livros-Material Escolar|Outros|LOJAS AMERICANAS 103/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|35DN ELDORADO 03/05
B. Outras Receitas:Ajustes|Outros|MOB
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB 02/03
D. Viagens:Tkt-Hotel-Auto|Hotel|HOTEL URBANO*585d003/06
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|COBASI OSASCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OUTBACK BZ 02 ALPHAVIL
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 154
[Residencia Lorian]|C&C|C&C OSASCO 03/05
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CASA CHIC 02/04
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|MUNDO DO ENXOVAL 02/06
[Residencia Lorian]|SPOT|MOAS 02/04 pendentes
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA SH VILLA LO
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|EMPORIONAKA 02/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|COBASI VILA LOBOS 03/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CAMICADO-SH.ELDORA03/05
D. Viagens:Tkt-Hotel-Auto|Hotel|D P METSU HOT ME 02/02
B2. Educação (Mensal):Livros-Material Escolar|Outros|MULTI CENTER COMER02/02
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|A Plus|A PLUS IND COM ACE02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|JIKAM
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RED SUPERMERCADO
[Residencia Lorian]|Casa Almeida|CASA ALMEIDA-V.LOB05/08
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 04/05
[Residencia Lorian]|Banho Design|BANHO DESIGN COM A02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALL PARMEGIANA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LA MAR
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|BRITO PARK
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BURGER KING CONTINENTA
[Residencia Lorian]|Banho Design|BANHO DESIGN COM A03/03
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO MINUANO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DONA DEOLA
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 01/04
B. Outras Receitas:Ajustes|Oppa Design|OPPA DESIGN LTDA
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 02/04
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|PAGSEGUROUOL*Queijos
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CARREFOUR CENESP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FORNALHA GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REDE FRANGO ASSADO SJC
B2. Educação (Mensal):Livros-Material Escolar|Outros|SPR PAPELARIA E IN03/04
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|EMPORIO DE COSMETI02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0013 BACIO DI LATTE
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|VIVA ALLEGRA-V.LOB01/02
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CENTER CARNES SANTA MA
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 03/10
B2. Educação (Mensal):Livros-Material Escolar|Outros|LOJAS AMERICANAS 104/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|35DN ELDORADO 04/05
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|CICERO CARDOSO RAMOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|MOB 03/03
D. Viagens:Tkt-Hotel-Auto|Hotel|HOTEL URBANO*585d004/06
[Residencia Lorian]|C&C|C&C OSASCO 04/05
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CASA CHIC 03/04
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|MUNDO DO ENXOVAL 03/06
[Residencia Lorian]|SPOT|MOAS 03/04 pendentes
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|VIA BRASIL
E2. Extraordinárias (One Time):Médicos-Clinicas-Exames|Arp Med|ARP MED 01/03
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|A Plus|A PLUS IND COM ACE03/03
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CAMICADO-SH.ELDORA04/05
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|PESCADOS SANTA CLARA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GENERAL PRIME BURGER
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RED
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TONY ROMA S RIBS
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|RECANTO DA VITORIA
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|LAVA RAPIDO OSHIMA
[Residencia Lorian]|Ricardo Eletro|RICARDOELETRO 06/07
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|LOJA 2766
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|IZ*KARINA PRIETO FERNA
F. Automóveis:Manutenção-Revisão Auto|Outros|BRABUS SANTO AMARO01/04
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|JBS
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Intimissimi|INTIMISSIMI
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|GWP BEAUTY HAIR BRASIL
B. Outras Receitas:Devolução - Pagto Emprestimo|Oppa Design|OPPA DESIGN LTDA
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 03/04
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 04/04
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|BEEF BOUTIQUE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|WENDYS BRASIL RESTAURA
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MUNDO VERDE PANAMBY
D. Viagens:Tkt-Hotel-Auto|English Camp|ENGLISH CAMP 10/10
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|JTSTETIC 04/07
B2. Educação (Mensal):Livros-Material Escolar|Outros|SPR PAPELARIA E IN04/04
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|PAGSEGUROUOL*DueFamePa
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|EMPORIO DE COSMETI03/03
E1. Extraordinárias (Ongoing):Presentes|Outros|DENY SPORTS 01/02
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|LIMA E VELLARDO NOZES
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|CENTAURO 133-G.VIANNA
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|VIVA ALLEGRA-V.LOB02/02
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 04/10
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|LOJAS AMERICANAS 105/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|35DN ELDORADO 05/05
D. Viagens:Tkt-Hotel-Auto|Hotel|HOTEL URBANO*585d005/06
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|POSTO FULLGAS
G. Reembolsáveis:Médicos-Clinicas-Exames|Outros|VACICLIN OSASCO 01/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC CAFE
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR.COM
[Residencia Lorian]|C&C|C&C OSASCO 05/05
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CASA CHIC 04/04
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|SONHOS DOURADOS COLCHO
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|MUNDO DO ENXOVAL 04/06
[Residencia Lorian]|SPOT|MOAS 04/04 pendentes
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR BOURBON SHOP
F. Automóveis:Manutenção-Revisão Auto|Outros|AUTOGLASS LANTERNA OUTLANDER
E2. Extraordinárias (One Time):Manutenção Residência|Outros|SANTIL ELETRICA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA SHP BOURBON
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LJ0019 SHOP BOURBON SP
B. Outras Receitas:Ajustes|Arp Med|ARP MED
E2. Extraordinárias (One Time):Médicos-Clinicas-Exames|Arp Med|ARP MED 02/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SS OSASCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|O GARIMPO BAR E CHOPER
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CAMICADO-SH.ELDORA05/05
[Residencia Lorian]|Casa Almeida|CASA ALMEIDA-V.LOB06/08
[Residencia Lorian]|Leroy Merlin|LEROY MERLIN 05/05
E1. Extraordinárias (Ongoing):Presentes|Outros|SWIL BRASIL COMERC01/04 LUSH
E1. Extraordinárias (Ongoing):Presentes|Arezzo|AREZZO MORUMBI 01/06
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|BER ETNA 01/10
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Marina-Felipe|A Plus|A PLUS IND COM ACESS L
B. Outras Receitas:Ajustes|Arezzo|AREZZO MORUMBI
B. Outras Receitas:Ajustes|Outros|SWIL BRASIL COMERCIO D
E1. Extraordinárias (Ongoing):Presentes|Arezzo|AREZZO MORUMBI 02/06
E1. Extraordinárias (Ongoing):Presentes|Outros|SWIL BRASIL COMERC02/04
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|BER ETNA 02/10
[Residencia Lorian]|Ricardo Eletro|RICARDOELETRO 07/07
F. Automóveis:Manutenção-Revisão Auto|Outros|BRABUS SANTO AMARO02/04
F. Automóveis:Manutenção-Revisão Auto|Outros|BRABUS SANTO AMARO03/04
B. Outras Receitas:Ajustes|Zara|ZARA-SH.VILLA LOBOS
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CASA CHIC 01/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|FERNET COM IMP LTD01/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|INK JET INFO 01/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|COM DE PRESENTES PARI - TUPPEWARE
[Residencia Lorian]|Outros|INFOSEVEN INFORMATICA
[Residencia Lorian]|Outros|ELIANE FERRARI - ME SPOT LED
B. Outras Receitas:Ajustes|Outros|CASA CHIC
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CASA CHIC 02/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|FERNET COM IMP LTD02/02
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|INK JET INFO 02/02
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RINCONCITO PERUANO
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SAO PAULO 266
C1. Lazer-Estetica-Vestuario-Celular:Estética-Massagem|Outros|JTSTETIC 05/07
D. Viagens:Tkt-Hotel-Auto|TAM Linhas Aereas|TAM SITE 01/04
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAFE DA PRACA COM LTDA
E1. Extraordinárias (Ongoing):Presentes|Outros|DENY SPORTS 02/02
B2. Educação (Mensal):Livros-Material Escolar|Outros|AMAZON.COM.BR
[Residencia Lorian]|Oppa Design|OPPA DESIGN LTDA 05/10
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|LOJAS AMERICANAS 106/10
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|AUTO POSTO TASCA M01/03
F. Automóveis:Combustível-Lavagem-Óleo|Combustível|FELIPE WASH CAR LTDA M
E1. Extraordinárias (Ongoing):Reforma Vilas|Copeli Matl Eletrico|COPELI
