[Mastercard Personnalite]|Opening Balance|undefined
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MCAFEE.COM
D. Viagens|Outros|HOTEL ESTANC ATIBAINHA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|POBRE JUAN
E1. Extraordinarias (Ongoing):Presentes|Outros|LIVR CULTURA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SIRIGADO BARAO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APOGEO
F. Automoveis:Manutencao-Revisao Auto|Outros|GRUPO CARRERA 
E1. Extraordinarias (Ongoing):Presentes|Outros|HEING 
F. Automoveis:Manutencao-Revisao Auto|Outros|GENIOS VIDRO AUTO 
E1. Extraordinarias (Ongoing):Presentes|Outros|CHICLETARIA VILLA 
E1. Extraordinarias (Ongoing):Presentes|Outros|CASA DAS CUECAS 
E1. Extraordinarias (Ongoing):Presentes|Outros|CROCS BRASIL 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|GREGORY 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PATEO DA LUZ
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|UCI CINEMAS
E1. Extraordinarias (Ongoing):Presentes|Ri Happy|RI HAPPY BRINQU
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL LJ 183
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOI-JARDINS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FELICITA
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|kalunga|KALUNGA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CANTINA DO PIERO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|HEING 
F. Automoveis:Manutencao-Revisao Auto|Outros|AUTO ESCOLA MARC 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|AHOLIC
C. Reembolsos:Reembolso|Mastercard Personnalite|CARTAO PERSONNALITE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SERRADOR
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|AREA PARKING ESTAC
B2. Educacao (Mensal):Cursos Eduardo-Carla|Outros|PROJECT MANAGEMENT INS - PMI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LEVIN
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|LIVR CULTURA
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|SHIOZAWA SHIATSU
E1. Extraordinarias (Ongoing):Presentes|Outros|PB KIDS TAMBORE 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|AHOLIC 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Vila Romana|VILA ROMANA CSJ 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|KID STOK - SH ELD 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Lojas|LOJAS RENNER 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Zara|ZARA BRASIL PAULI 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA F 21
E1. Extraordinarias (Ongoing):Presentes|Outros|FANTASTIC SPORTS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAYPAL *BARNESNOBLE
E1. Extraordinarias (Ongoing):Presentes|Outros|MOB 
E1. Extraordinarias (Ongoing):Presentes|Outros|EQUUS OSASCO 
E1. Extraordinarias (Ongoing):Presentes|Outros|EQUUS SHOPP PAULI 
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|INGRESSO FACIL PACAEMB
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|INGRESSO RAPIDO K 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST ROBIN DES BOIS LT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DESFRUTTI
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|AGUA DE COCO 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|BALANGANDA 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CRAWFORD IGUATEM 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KILOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Zara|ZARA IGUATEMI 
I. Taxas Bancarias:Encargos-Juros|Outros|EST DIF COT DOLAR
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|FASCAR VILLA LOBO 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIV CAMARAO S SH OSASC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STARBUCKS CERC CEZAR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SPOLETO NJ ALAMEDA SAN
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|ROUPARIA MONTAG
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ROCKTES COM ALIM
E1. Extraordinarias (Ongoing):Presentes|Outros|YACHTSMAN
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|SPEEDO 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|ANY ANY 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|EQUUS SHOPP PAULI 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THE FIFTIES DELIVERY
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BANCA DA MARTHA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CALDEIRAO DA VILLA
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|DOMAIN NAME REGISTRATI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DA FRANCO RISTORANTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TRATORIA DO PIERO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao de Açucar|PAO DE ACUCAR LJ 2352
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GAIA GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GRAO EXPRESSO
B. Outras Receitas:Ajustes|Mastercard Personnalite|EST DIF COT DOLAR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA PAULISTA
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Outros|CAR WASH
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|REST.SP FUT CLUBE 3673
E1. Extraordinarias (Ongoing):Presentes|Outros|EMPORIO BABY KIDS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HAMBURGUERIA NACIONAL
A4. Funcionários:Diarista - Diarias|Cleora|TAM CALL CENTER 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DONA SO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAYPAL *MOBIHAND - USD 16,425
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KAPPA SUSHI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TICIANA WERNER RESTAUR
E1. Extraordinarias (Ongoing):Presentes|Outros|TAM LOJAS 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CARLOTA SP
A4. Funcionários:Diarista - Diarias|Cleora|TAXA DE EMBARQUE
E1. Extraordinarias (Ongoing):Presentes|Outros|TAXA DE EMBARQUE
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS - USD 149,33 - PEN/DVD/MOUSE
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS - USD 23,94 - PEN DRIVE
D. Viagens:Compras|Amazon|Amazon.com - USD 64,45 - CAR SEAT
E2. Extraordinarias (One Time):Investimentos na Empresa|Amazon|AMAZON MKTPLACE PMTS - USD 821,94 - NOTEBOOK
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS - USD 15,98 - ANTENNA
H. Impostos Federais:CPMF-IOF|Governo|IMPOSTO COMPRA INT-IOF - USD 25,99
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|TOP SERV ELECT TEC FAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SNACK POINT HAMBURGUER
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA LJ 24 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Leroy Merlin|LEROY MERLIN RA 
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|PAYPAL *JUSTIN TV
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|OLD NAVY ON-LINE
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|C&C|C&C CASA E CONSTRUCAO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|GAP ONLINE
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|SUPERMERCAD ALVORADA
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|M G DE S PICHININ
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|COBASI CEASA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LANCH REST D PEIXOTO
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTACIONAMENTO JD SUL
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|SIME ESTACIONAMENTOS
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL FL 305
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MENTOR MEDIA-WIN7 UPGR
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|TRANSFER EXPRESS
E1. Extraordinarias (Ongoing):Assinaturas-Licencas|Microsoft|PAYPAL *SKYPE
D. Viagens:Compras|Dufry|DUTY FREE SHOP DOLARES
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|GRAND KING HOTEL
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Outros|WINERY
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Outros|GUARUCOOP
D. Viagens:Compras|Dufry|DUFRY DUTY FREE AISP
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|WORLD CAR SA
C. Reembolsos:Reembolso|Mastercard Personnalite|EST DIF COT DOLAR
C. Reembolsos:Reembolso|Outros|Tax-Free Refund
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|SAO PARKING
E1. Extraordinarias (Ongoing):Presentes|Outros|CAMICADO E-COMMER 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LAS NAZARENAS
E1. Extraordinarias (Ongoing):Presentes|Outros|TABACARIA ROMA
E2. Extraordinarias (One Time):Investimentos na Empresa|Outros|HOTEL SAN ANTONIO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Outros|HORT CENTER
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR STA CASA
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|POLYTEC 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|GAMESAVER SUBSCRIPTION
E1. Extraordinarias (Ongoing):Presentes|Outros|DIGO S
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|WAL MART LJ 2801 PDV
E1. Extraordinarias (Ongoing):Presentes|Outros|FLORES ON LINE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Vila Romana|VILA ROMANA CSJ
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|MAGAZINE KLEBER 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CHICLETARIA VILLA LOBO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|HAVAIANAS VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|PIRLIMPIMPIM 
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|INGRESSO.COM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BAKED POTATOR JD SUL
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|LIVR CULTURA 
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|A P PQ VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|C&A 275 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL LJ 154 PDV
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO MD 11
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BOVINU S FAST GRILL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CACAU SHOW
E1. Extraordinarias (Ongoing):Presentes|Outros|BMART MORUMBI
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|A POSTO N BROOKLIN LTD
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SUSHI KIM
E1. Extraordinarias (Ongoing):Presentes|Outros|TNG - 004 
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|ASTURIAS AUTO POSTO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|C A OLIMPIA BANDEIRANT
E1. Extraordinarias (Ongoing):Presentes|Outros|VIA LINS 
E1. Extraordinarias (Ongoing):Presentes|Outros|PROCOPIO SPORTS
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|JOCKEY CAR POSTO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CENTOPEIA IBIRAPUERA
E1. Extraordinarias (Ongoing):Presentes|Outros|PAINEL MUSICAL IB 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Leroy Merlin|LEROY MERLIN RAPOSO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO MARAPE
E1. Extraordinarias (Ongoing):Presentes|Outros|CRISTINA COMIN
I. Taxas Bancarias:Encargos-Juros|Outros|DEBITO DIF COT DOLAR
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|N SRA LOURDES FARMACIA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|ALVORADA SUPERMERCADO
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA LJ 45 PDV
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SPAGHETTI NOTE
E1. Extraordinarias (Ongoing):Presentes|Outros|DOCE DORMIR 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|CORELLO|CORELLO
E1. Extraordinarias (Ongoing):Presentes|Outros|GRUPO AMERICANAS. 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ZENI SUSHI
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS - FONE DE OUVIDO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|DOCE DORMIR
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA SP FMX266
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|C&C|C C - OSASCO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAYPAL *DATABIZ LTD
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|WAL MART LOJA 1025
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|DOCE DORMIR 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|SPEEDO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|MAGIC FEET
C. Reembolsos:Reembolso|Outros|GAMESAVER SUBSCRIPTION
G. Reembolsaveis:Medicos-Clinicas-Exames|Centro Médico Viver Melhor|CENTRO MEDICO V MELHOR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HIRO REST ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO IBIRAPUERA
E1. Extraordinarias (Ongoing):Presentes|Outros|F O M
D. Viagens:Compras|Amazon|AMAZON MKTPLACE PMTS - MARINA
E2. Extraordinarias (One Time):Investimentos na Empresa|Amazon|AMAZON MKTPLACE PMTS
E1. Extraordinarias (Ongoing):Presentes|Amazon|Amazon.com
D. Viagens:Compras|Amazon|Amazon.com - FERNANDA
E2. Extraordinarias (One Time):Investimentos na Empresa|Amazon|Amazon.com - Monitor
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|GAP ONLINE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETOS VL OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA EX VILA OLIMP
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CHINA LAKE RESTAURANTE
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA ANHANGUERA 1307
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|MOB 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Telhanorte|TELHANORTE OSASCO
D. Viagens|Outros|POUSADA RQ RECEPCAO CE
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAYPAL *DIGITALRIVE WW - SW RECUPERACAO SD CARD
D. Viagens|Outros|POUSADA RQ RECEPC 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|GE20 
F. Automoveis:Manutencao-Revisao Auto|Outros|REI DO OLEO 
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|IMAGENS I LETRAS
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO NATURAFLEX
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RASCAL SH IGUATEMI
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|LUX SERVICE  - MANUT LAVADORA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CARMELA BIJOUX
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|VIA CORES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|OWAN VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GALETOS VILA OLIMPIA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGARIA RAIA E CIA LT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KALILI
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|GE20 
G. Reembolsaveis:Emprestimos|Gustavo Marques|PAYPAL *UFLYMIKE
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|PLAYLAND ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE LUAR
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR TRANSAMERICA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE KOZAKA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FOGAO GAUCHO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO POLITECNICA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BUR DOG
G. Reembolsaveis:Despesas de Trabalho|Gol Linhas Aereas|GOL TRAN AEREO IN  - TKT CARACAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|AMERICA AL SANTOS
G. Reembolsaveis:Despesas de Trabalho|Gol Linhas Aereas|GOL TRAN AEREO INTERNE - TKT CARACAS
G. Reembolsaveis:Despesas de Trabalho|TAM Linhas Aereas|TAM CALL CENTER  TKT GRU/CARACAS
A1. Residencia Villas:Gas|Ultragaz|GAS CEASA LIQUIGAS
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA R TAVARES 2412
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|CINEMARK VILLA LOBOS
D. Viagens:Compras|Dufry|DUTY FREE CARACAS
G. Reembolsaveis:Despesas de Trabalho|Outros|CROWNE PLAZA MARUMA
D. Viagens:Compras|Dufry|DUFRY DUTY FREE A 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|PUKET VILLA LOBOS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MULTICOISAS - FERRO DE PASSAR
G. Reembolsaveis:Despesas de Trabalho|Outros|TAXA DE EMBARQUE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SHOP V OLIMP GRANO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|WAL MART LJ 3705 PDV
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CHU NOVILHO DE PRATA
E2. Extraordinarias (One Time):Outras|Outros|DEBITO DIF COT DOLAR
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGAO SHOP D & D
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|EL KABONG
G. Reembolsaveis:Despesas de Trabalho|Gol Linhas Aereas|GOL TRAN AEREO INT - TKT CARACAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|THAI GARDENS
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MULTICOISAS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|CHICLETARIA VILLA 
A1. Residencia Villas:Moveis|Outros|GOORILA  - TV
G. Reembolsaveis:Despesas de Trabalho|Outros|MCAFEE.COM
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|ACOUGUE E DERIVADOS
D. Viagens:Compras|Dufry|DUFRY DUTY FREE AI
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|FARABBUD
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|VRKIDS 
H. Impostos Federais:CPMF-IOF|Governo|REPASSE CUSTO IOF
H. Impostos Federais:CPMF-IOF|Governo|DEBITO DE IOF
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTACIONAMENTO EINSTEI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TUTTI FRUTTI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|C.DA VILLA SERV ENTREG
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SENZALA
G. Reembolsaveis:Despesas de Trabalho|Outros|OURO TAXI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DOM CHURRASCO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BIG CAMARAO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BIO ALTERNATIVA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGA RAIA 223 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|COLHER DE PAU
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|ELEMENTAR DROGARIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANDIAMO VILA OLIMPIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ASIA H SUSHI REST LT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE'S-SH.ELDORADO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|P A DELIVERY LJ 2609
B. Outras Receitas:Ajustes|Mastercard Personnalite|CR DIFERENCA COTACAO U$
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|LOJINHA PERDIGAO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|APPLEBEE JOAQUIM FLORI
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PEGUE E FACA TEODO
G. Reembolsaveis:Despesas de Trabalho|Outros|HOTEL SANTA BARBARA RE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HOTEL DIOGO
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA
G. Reembolsaveis:Despesas de Trabalho|Outros|RESTAURANTE ZOE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|C.DA VILLA SERV ENTREG - CASARAO
G. Reembolsaveis:Despesas de Trabalho|Outros|CARREFOUR SANTA ANA
G. Reembolsaveis:Despesas de Trabalho|Outros|CORRAL GOURMET SANTA A
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|SP VIVI SP
E2. Extraordinarias (One Time):Outras|Outros|CEMITERIO DA PAZ 
G. Reembolsaveis:Despesas de Trabalho|Outros|LOS POLLITOS BROASTED
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VARANDA FRUTAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HAKKA BAR
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|TIENDA DE CAFE JUAN VA
E1. Extraordinarias (Ongoing):Presentes|Outros|METROPOLI LTDA - JOIAS MARINA/CARLA
E1. Extraordinarias (Ongoing):Presentes|Outros|IMAGINARIUM EL DORADO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DA FRANCO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PAYPAL *COMPANIONLI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DON PEPE DI NAPOLI 2
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PINOLI
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Vila Romana|VILA ROMANA VL OLI
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL LJ 183 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN
